Num,R,G,B
1,14,31,124
2,10,85,163
3,48,135,119
4,75,107,175
5,237,23,31
6,209,92,0
7,145,54,151
8,228,154,203
9,145,95,172
10,157,214,125
11,232,169,0
12,254,186,53
13,255,255,0
14,112,188,31
15,192,148,0
16,168,168,168
17,123,111,0
18,255,255,179
19,79,85,86
20,0,0,0
21,11,61,145
22,119,1,118
23,41,49,51
24,42,19,1
25,246,74,138
26,178,118,36
27,252,187,196
28,254,55,15
29,240,240,240
30,106,28,138
31,168,221,196
32,37,132,187
33,254,179,67
34,255,240,141
35,208,166,96
36,209,84,0
37,102,186,73
38,19,74,70
39,135,135,135
40,216,202,198
41,67,86,7
42,254,227,197
43,249,147,188
44,0,56,34
45,178,175,212
46,104,106,176
47,239,227,185
48,247,56,102
49,181,76,100
50,19,43,26
51,199,1,85
52,254,158,50
53,168,222,235
54,0,103,26
55,78,41,144
56,47,126,32
57,253,217,222
58,255,217,17
59,9,91,166
60,240,249,112
61,227,243,91
62,255,200,100
63,255,200,150
64,255,200,200